,reward,steps,found
822,190065.97748333536,13,True
823,190959.4603469747,11,True
824,167947.8260548371,30,True
825,191420.50786310315,11,True
826,190292.12642120267,12,True
827,188718.3748362932,15,True
828,174500.32943224203,25,True
829,188788.72002524225,15,True
830,182195.8031265498,19,True
831,192450.6563521265,9,True
832,189704.4302614468,13,True
833,191541.48394003557,10,True
834,190835.327343089,12,True
835,170224.67858051797,28,True
836,184069.8964641503,18,True
837,188328.7762200889,15,True
838,166524.45843232027,31,True
839,185725.37347783564,17,True
840,183153.26517910484,19,True
841,184080.08696121204,18,True
842,190933.3085324355,12,True
843,190317.516531052,12,True
844,189476.4348031697,14,True
845,188523.15134116964,15,True
846,190792.9297952316,12,True
847,181894.5584850219,20,True
848,191215.0338200961,11,True
849,192035.0,9,True
850,185199.33521489348,18,True
851,189753.57443347445,13,True
852,173867.24075653907,26,True
853,191529.55559099637,10,True
854,156432.0340280612,38,True
855,189571.5560897412,14,True
856,173834.6650606437,26,True
857,177474.56222454738,23,True
858,178788.23303548014,22,True
859,190432.9269212194,12,True
860,190718.47710540425,12,True
861,187098.0250940824,16,True
862,179116.91004869746,22,True
863,190265.68607758527,13,True
864,145412.48162673338,46,True
865,182442.1264150463,19,True
866,182452.02672938543,19,True
867,169842.8053313858,28,True
868,191206.91078857172,11,True
869,172688.8060453678,26,True
870,186264.12060674888,17,True
871,190779.07243913595,12,True
872,181280.08696121204,20,True
873,180305.85979664823,21,True
874,192664.74749469443,9,True
875,191544.95514000213,10,True
876,189969.67614334065,13,True
877,189985.7675483725,13,True
878,191184.27280237424,11,True
879,179552.32047864806,22,True
880,-215584.55539793655,62,False
881,190431.99004143605,12,True
882,190143.68865778748,13,True
883,191370.6537563941,10,True
884,191582.35247039868,10,True
885,189280.977184847,14,True
886,177076.5605811593,23,True
887,180380.0863556256,21,True
888,191544.95514000213,10,True
889,189782.73303366185,13,True
890,187297.65696794612,16,True
891,191400.24914079733,11,True
892,190624.0719226992,12,True
893,191809.92142382183,10,True
894,188993.25512216915,15,True
895,191624.53469800728,10,True
896,190527.95728601303,12,True
897,187688.5839688853,15,True
898,167571.643277602,30,True
899,191756.65385400667,10,True
900,187901.89498590244,15,True
901,191598.2227098173,10,True
902,181619.8426587856,19,True
903,191622.80721944864,10,True
904,181025.6032596539,20,True
905,188924.48522221623,14,True
906,191377.5994123541,11,True
907,191544.95514000213,10,True
908,189782.76626756045,13,True
909,190204.10291290577,13,True
910,171008.00588530634,27,True
911,185854.01410994632,16,True
912,184300.81890612957,18,True
913,187784.23341624733,16,True
914,190039.73379147725,13,True
915,190581.9160423195,12,True
916,189634.9806332312,13,True
917,189505.06165679067,14,True
918,186779.08696121204,16,True
919,182172.4957389238,20,True
920,-220054.60414405316,78,False
921,192253.4362718757,9,True
922,174238.32988814663,25,True
923,189661.0106365441,14,True
924,182623.8448122849,19,True
925,188898.5737386838,14,True
926,186205.39396471667,16,True
927,191399.06983018448,11,True
928,185545.1441925545,17,True
929,191836.8983620165,10,True
930,165282.9726143725,32,True
931,-213132.04452620217,59,False
932,190201.2450707362,13,True
933,178051.72110906575,23,True
934,161564.06554086518,34,True
935,190708.7338666141,12,True
936,190438.69204088184,12,True
937,189856.30483581743,14,True
938,190025.04721305447,13,True
939,191588.21609892865,10,True
940,189384.4700375,14,True
941,190738.642356048,12,True
942,179132.41980181637,22,True
943,190856.07628352975,12,True
944,177425.12072994388,23,True
945,184872.90847899855,17,True
946,190551.45161792336,12,True
947,190775.1258324961,12,True
948,190990.2343664074,12,True
949,181987.09429035173,20,True
950,189507.02243372277,14,True
951,190704.54408436004,12,True
952,178059.60751044913,23,True
953,184924.0925026805,18,True
954,154948.75399197216,39,True
955,189028.579797415,14,True
956,188103.3584424613,15,True
957,189676.56064306092,14,True
958,190298.52854490565,13,True
959,192035.0,9,True
960,184536.3422356804,17,True
961,189872.19058691923,13,True
962,191384.1315672494,10,True
963,166511.49429610398,31,True
964,191370.6537563941,10,True
965,177335.93351130813,23,True
966,191737.0964783244,10,True
967,190021.0803771135,13,True
968,191844.5125443418,10,True
969,-400000.0,102,False
970,190325.2982303702,12,True
971,192035.0,9,True
972,181489.94677067292,20,True
973,191541.48394003557,10,True
974,191500.23183119693,10,True
975,-213375.83568438925,56,False
976,179170.38714393906,21,True
977,191428.8182604141,11,True
978,191367.56448743367,11,True
979,181915.9022552961,20,True
980,192450.6563521265,9,True
981,191180.1047323453,11,True
982,191370.6537563941,10,True
983,-201306.13643002845,25,False
984,188977.43374276752,15,True
985,190898.24850587847,12,True
986,188522.10148871105,15,True
987,152436.71455030036,41,True
988,191395.3592447313,11,True
989,191544.95514000213,10,True
990,185717.4132187852,17,True
991,191225.9477571893,11,True
992,188795.4461920452,14,True
993,189829.15842240755,13,True
994,188787.8388191824,14,True
